Gene,d0_Old,d0_Y,d1_Old,d1_Y,d3_Old,d3_Y,d5_Old,d5_Y,d7_Old,d7_Y
ENSMUSG00000102874,-0.5211573154,-0.1560954276,1.0146202799,2.4874561701,-0.1183304048,-0.4708039507,-0.5715106787,-0.5211573154,-0.5715106787,-0.0434982788
ENSMUSG00000086025,-0.4821803781,-0.3636114326,-0.4821803781,2.4820432596,-0.4821803781,-0.3240884523,-0.4821803781,1.0987388938,-0.4821803781,-0.1368784468
ENSMUSG00000104157,-0.9675103483,-0.6935083939,0.9788483598,2.4244448757,-0.4384031264,-0.476196499,-0.2683329481,-0.476196499,-0.1549528292,1.586140468
ENSMUSG00000103336,0.3942018966,-0.7610828702,0.6439931979,2.4003382829,-0.5737393945,-0.7610828702,-0.7610828702,0.1444105962,-0.7610828702,0.6347240197
ENSMUSG00000110366,0.2221837832,0.2319716146,-0.8544777203,2.3755067891,-0.7957507293,-0.3650861276,-0.9132047114,0.104729801,0.6724240478,-0.316227766
ENSMUSG00000097415,1.1618529251,-0.1568795357,-0.2248156983,2.326404024,-0.6729052812,-0.8116685069,-0.5601601604,-0.6960324855,-0.487887647,0.3006508136
ENSMUSG00000089948,-0.4629100499,-0.4629100499,-0.4629100499,2.3145502494,-0.4629100499,1.3887301497,-0.4629100499,-0.4629100499,-0.4629100499,0.8352571682
ENSMUSG00000097517,-0.528198034,-0.2916914514,-0.528198034,2.3098809562,1.3638546261,-0.528198034,-0.528198034,-0.2128559271,-0.528198034,1.13976455
ENSMUSG00000105804,0.1797846318,1.1003313733,-0.5121699654,2.2680047565,0.0809339753,-0.8087219358,-1.0311359135,-0.2897559877,-0.6604459506,0.0679501684
ENSMUSG00000108985,0.2031844309,0.3223357948,-1.1262939445,2.241299865,-0.298505522,-0.9507024608,-1.1262939445,0.2784379238,-0.0163049235,2.5391002663
ENSMUSG00000085655,-0.5581563057,-0.5581563057,-0.5581563057,2.2326252226,1.3023647132,-0.5581563057,-0.5581563057,-0.5581563057,-0.5581563057,-0.5100781621
ENSMUSG00000098959,-0.0321062906,0.1724926195,0.748517243,2.2121863683,-0.5357343766,-1.1904508884,-1.2156322928,0.345614774,-0.0446969926,-0.316227766
ENSMUSG00000108102,-0.1466271787,0.6194586425,0.3476217382,2.2010551768,-0.739725879,-0.7891507707,-1.0362752292,-0.3608017092,-0.8385756624,0.6790740739
ENSMUSG00000086413,-0.5866319377,-0.5866319377,-0.5866319377,2.1988146726,-0.5866319377,-0.5866319377,-0.5866319377,-0.1645945717,1.4391474152,0.4949997859
ENSMUSG00000111556,0.5012746291,-0.3473054585,-0.8984451028,2.1721900587,-0.8984451028,-0.1285992502,-0.8984451028,1.1136520114,-0.4522844383,-0.5217033602
ENSMUSG00000089842,-0.272178399,0.8830482462,-0.9548123257,2.1695506466,-0.9548123257,-0.3071852672,-0.9548123257,0.2004143195,0.620496736,-0.5209538077
ENSMUSG00000110789,1.5961658015,-0.4700682456,-0.4700682456,2.1643801631,-0.4700682456,-0.4700682456,-0.4700682456,-0.4700682456,-0.4700682456,-0.6356305771
ENSMUSG00000058159,-0.5868514456,1.0636682431,-0.5868514456,2.1640147022,-0.5868514456,-0.5868514456,-0.5868514456,0.8802771739,-0.5868514456,0.0351269017
ENSMUSG00000109556,-0.7306142608,-0.2019498173,1.1302845793,2.1136004435,-0.7729074159,-0.6883211045,-0.7729074159,-0.1808032392,-0.6460279495,0.1506971947
ENSMUSG00000105050,-0.458690872,0.0956144353,0.9057529613,2.1112700982,-0.8773270482,-0.7894651346,-0.954852266,-0.6964348732,0.8282277435,-0.3297853869
ENSMUSG00000086953,-0.6576506908,-0.3141772116,-0.6778550128,2.0800349799,-0.5566290791,-0.132338311,-0.6778550128,-0.4354031454,1.6254377283,-0.4640737515
ENSMUSG00000109719,0.9959895586,-0.1418318086,-1.0851151288,2.063686746,-0.9222460664,-1.0036805976,-0.2436249726,-0.4517354415,0.1499752617,-0.2685677134
ENSMUSG00000106985,-1.0384289198,-0.2999905768,-0.8845875983,2.0537816413,-0.4846001626,-0.5871610437,0.7768986733,-0.5666488671,1.1461178448,-0.4606024291
ENSMUSG00000104012,0.6838910323,0.1063247094,-0.6812657303,2.0359212866,-0.6812657303,-0.6812657303,-0.6812657303,1.2614573537,-0.6812657303,1.3774770718
ENSMUSG00000087050,-0.688292993,-0.0653686083,-0.688292993,2.0341172807,0.6959834174,-0.5344845026,-0.688292993,1.3112173778,-0.688292993,-0.381137201
ENSMUSG00000107497,0.5671699745,0.8954959211,0.2353511988,2.008180329,-1.0535027828,-1.2098068904,-0.6474613862,-0.7985262499,-0.2794045073,-0.0668678452
ENSMUSG00000101414,-0.4611099147,-0.0998717324,-0.5461071331,2.0038094424,-0.5461071331,-0.5461071331,-0.5461071331,-0.4611099147,-0.5461071331,0.9858543445
